mode,method,target,rmse_global,rmse_nonSensor,queue_global_rmse,queue_idle_rmse,queue_busy_rmse,queue_idle_fp,queue_idle_mean,thr_global_rmse,thr_idle_rmse,thr_busy_rmse,thr_idle_fp,thr_idle_mean,delay_global_rmse,delay_idle_rmse,delay_busy_rmse,delay_idle_fp,delay_idle_mean
lead1,zero,queue_pkts,21.25090847731247,0.0,21.25090847731247,0.6609324346469289,83.43414854157226,0.0,0.0,,,,,,,,,,
lead1,zero,throughput_Mbps,1.2486813148540006,0.001587091717008188,,,,,,1.2486813148540006,0.00438749909668976,2.461155771609912,0.0,0.0,,,,,
lead1,zero,utilization,0.35588676605124603,1.587091742154077e-06,,,,,,,,,,,,,,,
lead1,zero,qdelay_ms,332.54698143974974,332.54698143974974,,,,,,,,,,,332.54698143974974,0.45482482361984694,380.7160497716381,0.0,0.0
lead1,persistence,queue_pkts,2.3359509127262643,0.0,2.3359509127262643,1.429117293165177,7.397296803562772,0.0007920792079207921,0.07683168316831683,,,,,,,,,,
lead1,persistence,throughput_Mbps,0.1897568391043494,0.002122800339417397,,,,,,0.1897568391043494,0.09990986891192827,0.3333000524362444,0.006483790523690773,0.007218837791048176,,,,,
lead1,persistence,utilization,0.05733958824266331,2.122800379729996e-06,,,,,,,,,,,,,,,
lead1,persistence,qdelay_ms,42.17937525596568,42.17937525596568,,,,,,,,,,,42.17937525596568,54.569411156921625,37.505753449169774,0.234375,8.55812523359782
lead1,ar1,queue_pkts,2.330639921769667,0.0,2.330639921769667,1.416940669240091,7.405244253514069,0.0007920792079207921,0.05525059634750522,,,,,,,,,,
lead1,ar1,throughput_Mbps,0.22776637663409108,0.0015785902768126342,,,,,,0.22776637663409108,0.09182845993753772,0.4209653445950814,0.006483790523690773,0.006759410436451001,,,,,
lead1,ar1,utilization,0.057198280007704445,1.5869884155231536e-06,,,,,,,,,,,,,,,
lead1,ar1,qdelay_ms,42.20161643847636,42.20161643847636,,,,,,,,,,,42.20161643847636,54.623669261646626,37.51400647905027,0.25,8.56661496587593
